,features
0,ML_cluster
1,ML_regression
2,ML_supervised learning
3,PL_matlab
4,coursework_char
5,postdoc
6,github_available
7,side_projects_char
8,PL_all
9,industry_motivation_char
10,PhD
11,ML_timeseries
12,machine learning
13,PL_python
14,PL_r
15,PL_bash
16,research_description_char
