,features
0,PhD
1,research_description_char
2,side_projects_char
3,ML_timeseries
4,PL_python
5,PL_all
6,ML_svm
7,machine learning
8,github_available
9,industry_motivation_char
10,PL_r
11,PL_sql
12,coursework_char
13,ML_supervised learning
14,ML_cluster
15,ML_pca
16,ML_regression
17,PL_tensorflow
18,nlp
